cast,certificate,genre,grosscollection,imdbrating,imglinks,metascore,movie,noofvotes,plot,production_year,release_date,runtime,tconst,gtrendssearch,date
"     Director: Anurag Kashyap |      Stars: Manoj Bajpayee,  Richa Chadha,  Nawazuddin Siddiqui,  Tigmanshu Dhulia ",A,"Action, Crime, Drama            ",NA,8.2,"https://ia.media-imdb.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_UX67_CR0,0,67,98_AL_.jpg",89,Gangs of Wasseypur,61549,"    A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",2012,02-Aug-12,321 min,tt1954470,Gangs of Wasseypur,2012-08-02
"     Director: Hansal Mehta |      Stars: Rajkummar Rao,  Mohammed Zeeshan Ayyub,  Baljinder Kaur,  Tigmanshu Dhulia ",A,"Biography, Crime, Drama            ",NA,8.3,"https://ia.media-imdb.com/images/M/MV5BMTYyMDE1NjQ1Nl5BMl5BanBnXkFtZTgwMDAyMTUzMDE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Shahid,10635,"    The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",2012,18-Oct-13,129 min,tt2181831,Shahid ,2013-10-18
"     Director: Sujoy Ghosh |      Stars: Vidya Balan,  Parambrata Chatterjee,  Dhritiman Chatterjee,  Saswata Chatterjee ",UA,"Mystery, Thriller            ","1,035,953",8.2,"https://ia.media-imdb.com/images/M/MV5BMTQ1NDI0NzkyOF5BMl5BanBnXkFtZTcwNzAyNzE2Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Kahaani,47857,"    A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",2012,09-Mar-12,122 min,tt1821480,Kahaani,2012-03-09
"     Director: Vivek Agnihotri |      Stars: Nikhil Dwivedi,  Gulshan Devaiah,  Paoli Dam,  Mohan Kapoor ",A,"Drama, Thriller            ",NA,5.3,"https://ia.media-imdb.com/images/M/MV5BZTgzMDA5YWQtZTNhNy00MzZiLWE1OWMtMmFkNDU2YTJhMTA2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Hate Story,2919,"    After a powerful businessman has her baby forcefully aborted, Kaavya Krishna uses her body as a sexual weapon to destroy his empire, brick by brick.",2012,20-Apr-12,140 min,tt2309987,Hate Story,2012-04-20
"     Director: Anurag Basu |      Stars: Ranbir Kapoor,  Priyanka Chopra,  Ileana D'Cruz,  Saurabh Shukla ",U,"Adventure, Comedy, Drama            ","2,804,874",8.1,"https://ia.media-imdb.com/images/M/MV5BMTQzMTEyODY2Ml5BMl5BanBnXkFtZTgwMjA0MDUyMjE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Barfi!,64142,    Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,2012,14-Sep-12,151 min,tt2082197,Barfi!,2012-09-14
"     Director: Reema Kagti |      Stars: Aamir Khan,  Kareena Kapoor Khan,  Rani Mukerji,  Rajkummar Rao ",UA,"Crime, Drama, Fantasy            ","2,706,375",7.3,"https://ia.media-imdb.com/images/M/MV5BNTg5NzI3NzQzNl5BMl5BanBnXkFtZTcwMjM3MDU2OA@@._V1_UY98_CR0,0,67,98_AL_.jpg",65,Talaash,33774,"    Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",2012,30-Nov-12,140 min,tt1787988,Talaash,2012-11-30
"     Director: Karan Malhotra |      Stars: Hrithik Roshan,  Priyanka Chopra,  Sanjay Dutt,  Rishi Kapoor ",NA,"Action, Crime, Drama            ","1,981,605",7,"https://ia.media-imdb.com/images/M/MV5BMzcxNTEzNzI4M15BMl5BanBnXkFtZTcwMTc3MDUzNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Agneepath,19397,    A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,2012,26-Jan-12,174 min,tt1849718,Agneepath,2012-01-26
"     Director: Ajay Bahl |      Stars: Shadab Kamal,  Shilpa Shukla,  Dibyendu Bhattacharya,  Shikha Joshi ",A,"Crime, Drama            ",NA,6.5,"https://ia.media-imdb.com/images/M/MV5BMjI0NDM4MTQ0M15BMl5BanBnXkFtZTgwNjA5NTM0NDE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,B.A. Pass,2758,    A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,2012,02-Aug-13,95 min,tt2408040,B.A. Pass,2013-08-02
"     Director: Yash Chopra |      Stars: Shah Rukh Khan,  Katrina Kaif,  Anushka Sharma,  Anupam Kher ",NA,"Drama, Family, Romance            ","3,047,539",6.8,"https://ia.media-imdb.com/images/M/MV5BMTUyMzM5OTM5NF5BMl5BanBnXkFtZTcwNTIwMjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Jab Tak Hai Jaan,46521,    A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,2012,13-Nov-12,176 min,tt2176013,Jab Tak Hai Jaan,2012-11-13
"     Director: Tigmanshu Dhulia |      Stars: Irrfan Khan,  Ravi Bhushan Bhartiya,  Hemendra Dandotiya,  Mahie Gill ",NA,"Action, Biography, Crime            ","39,567",8.2,"https://ia.media-imdb.com/images/M/MV5BNTgwODM5OTMzN15BMl5BanBnXkFtZTcwMTA3NzI1Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Paan Singh Tomar,27265,"    The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",2012,02-Mar-12,135 min,tt1620933,Paan Singh Tomar,2012-03-02
